State,ConditionGroup,AgeGroup,COVID19Deaths
Illinois,Vascular and unspecified dementia,45-54,0
Illinois,Vascular and unspecified dementia,55-64,54.0
Illinois,Vascular and unspecified dementia,65-74,271.0
Illinois,Vascular and unspecified dementia,75-84,932.0
Illinois,Vascular and unspecified dementia,85+,1990.0
Illinois,Vascular and unspecified dementia,Not stated,0.0
Illinois,Vascular and unspecified dementia,All Ages,3249.0
Illinois,Renal failure,0-24,0
Illinois,Renal failure,25-34,19.0
Illinois,Renal failure,35-44,52.0
Illinois,Renal failure,45-54,124.0
Illinois,Renal failure,55-64,331.0
Illinois,Renal failure,65-74,563.0
Illinois,Renal failure,75-84,719.0
Illinois,Renal failure,85+,758.0
Illinois,Renal failure,Not stated,0.0
Illinois,Renal failure,All Ages,2568.0
Illinois,"Intentional and unintentional injury, and other adverse events",1796.0
Illinois,All other conditions and causes (residual),0-24,48.0
Illinois,All other conditions and causes (residual),25-34,140.0
Illinois,All other conditions and causes (residual),35-44,283.0
Illinois,All other conditions and causes (residual),45-54,716.0
Illinois,All other conditions and causes (residual),55-64,1795.0
Illinois,All other conditions and causes (residual),65-74,3016.0
Illinois,All other conditions and causes (residual),75-84,3402.0
Illinois,All other conditions and causes (residual),85+,3922.0
Illinois,All other conditions and causes (residual),Not stated,0.0
Illinois,All other conditions and causes (residual),All Ages,13322.0
Illinois,COVID-19,0-24,113.0
Illinois,COVID-19,25-34,379.0
Illinois,COVID-19,35-44,867.0
Illinois,COVID-19,45-54,2079.0
Illinois,COVID-19,55-64,4905.0
Illinois,COVID-19,65-74,8324.0
Illinois,COVID-19,75-84,10039.0
Illinois,COVID-19,85+,12014.0
Illinois,COVID-19,Not stated,0
Illinois,COVID-19,All Ages,38721.0
Indiana,Respiratory diseases,0-24,83.0
Indiana,Respiratory diseases,25-34,211.0
Indiana,Respiratory diseases,35-44,643.0
Indiana,Respiratory diseases,45-54,1795.0
Indiana,Respiratory diseases,55-64,4721.0
Indiana,Respiratory diseases,65-74,7959.0
Indiana,Respiratory diseases,75-84,8872.0
Indiana,Respiratory diseases,85+,6964.0
Indiana,Respiratory diseases,Not stated,0.0
Indiana,Respiratory diseases,All Ages,31277.0
Indiana,Circulatory diseases,0-24,30.0
Indiana,Circulatory diseases,25-34,52.0
Indiana,Circulatory diseases,35-44,230.0
Indiana,Circulatory diseases,45-54,699.0
Indiana,Circulatory diseases,55-64,1994.0
Indiana,Circulatory diseases,65-74,3972.0
Indiana,Circulatory diseases,75-84,5380.0
Indiana,Circulatory diseases,85+,6084.0
Indiana,Circulatory diseases,Not stated,0.0
Indiana,Circulatory diseases,All Ages,18471.0
Indiana,Sepsis,0-24,0
Indiana,Sepsis,25-34,20.0
Indiana,Sepsis,35-44,64.0
Indiana,Sepsis,45-54,182.0
Indiana,Sepsis,55-64,467.0
Indiana,Sepsis,65-74,722.0
Indiana,Sepsis,75-84,697.0
Indiana,Sepsis,85+,372.0
Indiana,Sepsis,Not stated,0
Indiana,Sepsis,All Ages,2532.0
Indiana,Malignant neoplasms,0-24,0
Indiana,Malignant neoplasms,25-34,0
Indiana,Malignant neoplasms,35-44,16.0
Indiana,Malignant neoplasms,45-54,86.0
Indiana,Malignant neoplasms,55-64,279.0
Indiana,Malignant neoplasms,65-74,523.0
Indiana,Malignant neoplasms,75-84,483.0
Indiana,Malignant neoplasms,85+,347.0
Indiana,Malignant neoplasms,Not stated,0.0
Indiana,Malignant neoplasms,All Ages,1743.0
Indiana,Diabetes,0-24,0
Indiana,Diabetes,25-34,18.0
Indiana,Diabetes,35-44,69.0
Indiana,Diabetes,45-54,226.0
Indiana,Diabetes,55-64,590.0
Indiana,Diabetes,65-74,1101.0
Indiana,Diabetes,75-84,1122.0
Indiana,Diabetes,85+,768.0
Indiana,Diabetes,Not stated,0.0
Indiana,Diabetes,All Ages,3900.0
Indiana,Obesity,0-24,20.0
Indiana,Obesity,25-34,42.0
Indiana,Obesity,35-44,97.0
Indiana,Obesity,45-54,190.0
Indiana,Obesity,55-64,289.0
Indiana,Obesity,65-74,289.0
Indiana,Obesity,75-84,170.0
Indiana,Obesity,85+,28.0
Indiana,Obesity,Not stated,0.0
Indiana,Obesity,All Ages,1125.0
Indiana,Alzheimer disease,0-24,0.0
Indiana,Alzheimer disease,25-34,0.0
Indiana,Alzheimer disease,35-44,0
Indiana,Alzheimer disease,45-54,0
Indiana,Alzheimer disease,55-64,0
Indiana,Alzheimer disease,65-74,65.0
Indiana,Alzheimer disease,75-84,302.0
Indiana,Alzheimer disease,85+,619.0
Indiana,Alzheimer disease,Not stated,0.0
Indiana,Alzheimer disease,All Ages,997.0
Indiana,Vascular and unspecified dementia,0-24,0.0
Indiana,Vascular and unspecified dementia,25-34,0.0
Indiana,Vascular and unspecified dementia,35-44,0.0
Indiana,Vascular and unspecified dementia,45-54,0
Indiana,Vascular and unspecified dementia,55-64,41.0
Indiana,Vascular and unspecified dementia,65-74,259.0
Indiana,Vascular and unspecified dementia,75-84,870.0
Indiana,Vascular and unspecified dementia,85+,1637.0
Indiana,Vascular and unspecified dementia,Not stated,0
Indiana,Vascular and unspecified dementia,All Ages,2811.0
Indiana,Renal failure,0-24,0
Indiana,Renal failure,25-34,23.0
Indiana,Renal failure,35-44,60.0
Indiana,Renal failure,45-54,193.0
Indiana,Renal failure,55-64,500.0
Indiana,Renal failure,65-74,875.0
Indiana,Renal failure,75-84,990.0
Indiana,Renal failure,85+,835.0
Indiana,Renal failure,Not stated,0
Indiana,Renal failure,All Ages,3480.0
Indiana,"Intentional and unintentional injury, and other adverse events",1671.0
Indiana,All other conditions and causes (residual),0-24,56.0
Indiana,All other conditions and causes (residual),25-34,97.0
Indiana,All other conditions and causes (residual),35-44,247.0
Indiana,All other conditions and causes (residual),45-54,650.0
Indiana,All other conditions and causes (residual),55-64,1794.0
Indiana,All other conditions and causes (residual),65-74,3095.0
Indiana,All other conditions and causes (residual),75-84,3647.0
Indiana,All other conditions and causes (residual),85+,3505.0
Indiana,All other conditions and causes (residual),Not stated,0
Indiana,All other conditions and causes (residual),All Ages,13092.0
Indiana,COVID-19,0-24,108.0
Indiana,COVID-19,25-34,206.0
Indiana,COVID-19,35-44,515.0
Indiana,COVID-19,45-54,1380.0
Indiana,COVID-19,55-64,3506.0
Indiana,COVID-19,65-74,6035.0
Indiana,COVID-19,75-84,7355.0
Indiana,COVID-19,85+,7790.0
Indiana,COVID-19,Not stated,0
Indiana,COVID-19,All Ages,26896.0
Iowa,Respiratory diseases,0-24,0.0
Iowa,Respiratory diseases,25-34,55.0
Iowa,Respiratory diseases,35-44,184.0
Iowa,Respiratory diseases,45-54,542.0
Iowa,Respiratory diseases,55-64,1447.0
Iowa,Respiratory diseases,65-74,2516.0
Iowa,Respiratory diseases,75-84,2958.0
Iowa,Respiratory diseases,85+,3164.0
Iowa,Respiratory diseases,Not stated,0.0
Iowa,Respiratory diseases,All Ages,10903.0
Iowa,Circulatory diseases,0-24,0.0
Iowa,Circulatory diseases,25-34,12.0
Iowa,Circulatory diseases,35-44,71.0
Iowa,Circulatory diseases,45-54,284.0
Iowa,Circulatory diseases,55-64,721.0
Iowa,Circulatory diseases,65-74,1336.0
Iowa,Circulatory diseases,75-84,2102.0
Iowa,Circulatory diseases,85+,3173.0
Iowa,Circulatory diseases,Not stated,0.0
Iowa,Circulatory diseases,All Ages,7750.0
Iowa,Sepsis,0-24,0
Iowa,Sepsis,25-34,0
Iowa,Sepsis,35-44,17.0
Iowa,Sepsis,45-54,52.0
Iowa,Sepsis,55-64,148.0
Iowa,Sepsis,65-74,191.0
Iowa,Sepsis,75-84,186.0
Iowa,Sepsis,85+,146.0
Iowa,Sepsis,Not stated,0.0
Iowa,Sepsis,All Ages,746.0
Iowa,Malignant neoplasms,0-24,0.0
Iowa,Malignant neoplasms,25-34,0
Iowa,Malignant neoplasms,35-44,0
Iowa,Malignant neoplasms,45-54,19.0
Iowa,Malignant neoplasms,55-64,93.0
Iowa,Malignant neoplasms,65-74,185.0
Iowa,Malignant neoplasms,75-84,242.0
Iowa,Malignant neoplasms,85+,202.0
Iowa,Malignant neoplasms,Not stated,0.0
Iowa,Malignant neoplasms,All Ages,747.0
Iowa,Diabetes,0-24,0.0
Iowa,Diabetes,25-34,0
Iowa,Diabetes,35-44,21.0
Iowa,Diabetes,45-54,75.0
Iowa,Diabetes,55-64,213.0
Iowa,Diabetes,65-74,387.0
Iowa,Diabetes,75-84,453.0
Iowa,Diabetes,85+,417.0
Iowa,Diabetes,Not stated,0.0
Iowa,Diabetes,All Ages,1574.0
Iowa,Obesity,0-24,0
Iowa,Obesity,25-34,20.0
Iowa,Obesity,35-44,49.0
Iowa,Obesity,45-54,94.0
Iowa,Obesity,55-64,122.0
Iowa,Obesity,65-74,142.0
Iowa,Obesity,75-84,83.0
Iowa,Obesity,85+,42.0
Iowa,Obesity,Not stated,0.0
Iowa,Obesity,All Ages,558.0
Iowa,Alzheimer disease,0-24,0.0
Iowa,Alzheimer disease,25-34,0.0
Iowa,Alzheimer disease,35-44,0.0
Iowa,Alzheimer disease,45-54,0.0
Iowa,Alzheimer disease,55-64,0
Iowa,Alzheimer disease,65-74,22.0
Iowa,Alzheimer disease,75-84,158.0
Iowa,Alzheimer disease,85+,382.0
Iowa,Alzheimer disease,Not stated,0.0
Iowa,Alzheimer disease,All Ages,567.0
Iowa,Vascular and unspecified dementia,0-24,0.0
Iowa,Vascular and unspecified dementia,25-34,0
Iowa,Vascular and unspecified dementia,35-44,0.0
Iowa,Vascular and unspecified dementia,45-54,0
Iowa,Vascular and unspecified dementia,55-64,0
Iowa,Vascular and unspecified dementia,65-74,100.0
Iowa,Vascular and unspecified dementia,75-84,346.0
Iowa,Vascular and unspecified dementia,85+,751.0
Iowa,Vascular and unspecified dementia,Not stated,0.0
Iowa,Vascular and unspecified dementia,All Ages,1206.0
Iowa,Renal failure,0-24,0
Iowa,Renal failure,25-34,0
Iowa,Renal failure,35-44,16.0
Iowa,Renal failure,45-54,60.0
Iowa,Renal failure,55-64,151.0
Iowa,Renal failure,65-74,262.0
Iowa,Renal failure,75-84,324.0
Iowa,Renal failure,85+,359.0
Iowa,Renal failure,Not stated,0.0
Iowa,Renal failure,All Ages,1182.0
Iowa,"Intentional and unintentional injury, and other adverse events",572.0
Iowa,All other conditions and causes (residual),0-24,13.0
Iowa,All other conditions and causes (residual),25-34,35.0
Iowa,All other conditions and causes (residual),35-44,89.0
Iowa,All other conditions and causes (residual),45-54,230.0
Iowa,All other conditions and causes (residual),55-64,619.0
Iowa,All other conditions and causes (residual),65-74,1055.0
Iowa,All other conditions and causes (residual),75-84,1375.0
Iowa,All other conditions and causes (residual),85+,1748.0
Iowa,All other conditions and causes (residual),Not stated,0.0
Iowa,All other conditions and causes (residual),All Ages,5164.0
Iowa,COVID-19,0-24,22.0
Iowa,COVID-19,25-34,70.0
Iowa,COVID-19,35-44,184.0
Iowa,COVID-19,45-54,465.0
Iowa,COVID-19,55-64,1216.0
Iowa,COVID-19,65-74,2076.0
Iowa,COVID-19,75-84,2925.0
Iowa,COVID-19,85+,4067.0
Iowa,COVID-19,Not stated,0.0
Iowa,COVID-19,All Ages,11025.0
Kansas,Respiratory diseases,0-24,13.0
Kansas,Respiratory diseases,25-34,85.0
Kansas,Respiratory diseases,35-44,278.0
Kansas,Respiratory diseases,45-54,678.0
Kansas,Respiratory diseases,55-64,1680.0
Kansas,Respiratory diseases,65-74,2671.0
Kansas,Respiratory diseases,75-84,3046.0
Kansas,Respiratory diseases,85+,2750.0
Kansas,Respiratory diseases,Not stated,0.0
Kansas,Respiratory diseases,All Ages,11244.0
Kansas,Circulatory diseases,0-24,0.0
Kansas,Circulatory diseases,25-34,13.0
Kansas,Circulatory diseases,35-44,76.0
Kansas,Circulatory diseases,45-54,278.0
Kansas,Circulatory diseases,55-64,739.0
Kansas,Circulatory diseases,65-74,1214.0
Kansas,Circulatory diseases,75-84,1635.0
Kansas,Circulatory diseases,85+,2152.0
Kansas,Circulatory diseases,Not stated,0.0
Kansas,Circulatory diseases,All Ages,6163.0
Kansas,Sepsis,0-24,0
Kansas,Sepsis,25-34,0
Kansas,Sepsis,35-44,29.0
Kansas,Sepsis,45-54,72.0
Kansas,Sepsis,55-64,156.0
Kansas,Sepsis,65-74,243.0
Kansas,Sepsis,75-84,242.0
Kansas,Sepsis,85+,163.0
Kansas,Sepsis,Not stated,0.0
Kansas,Sepsis,All Ages,913.0
Kansas,Malignant neoplasms,0-24,0.0
Kansas,Malignant neoplasms,25-34,0
Kansas,Malignant neoplasms,35-44,0
Kansas,Malignant neoplasms,45-54,22.0
Kansas,Malignant neoplasms,55-64,56.0
Kansas,Malignant neoplasms,65-74,168.0
Kansas,Malignant neoplasms,75-84,180.0
Kansas,Malignant neoplasms,85+,134.0
Kansas,Malignant neoplasms,Not stated,0.0
Kansas,Malignant neoplasms,All Ages,572.0
Kansas,Diabetes,0-24,0
Kansas,Diabetes,25-34,0
Kansas,Diabetes,35-44,31.0
Kansas,Diabetes,45-54,86.0
Kansas,Diabetes,55-64,166.0
Kansas,Diabetes,65-74,300.0
Kansas,Diabetes,75-84,319.0
Kansas,Diabetes,85+,249.0
Kansas,Diabetes,Not stated,0.0
Kansas,Diabetes,All Ages,1162.0
Kansas,Obesity,0-24,0
Kansas,Obesity,25-34,13.0
Kansas,Obesity,35-44,46.0
Kansas,Obesity,45-54,90.0
Kansas,Obesity,55-64,124.0
Kansas,Obesity,65-74,115.0
Kansas,Obesity,75-84,59.0
Kansas,Obesity,85+,11.0
Kansas,Obesity,Not stated,0.0
Kansas,Obesity,All Ages,467.0
Kansas,Alzheimer disease,0-24,0.0
Kansas,Alzheimer disease,25-34,0.0
Kansas,Alzheimer disease,35-44,0.0
Kansas,Alzheimer disease,45-54,0.0
Kansas,Alzheimer disease,55-64,0
Kansas,Alzheimer disease,65-74,20.0
Kansas,Alzheimer disease,75-84,79.0
Kansas,Alzheimer disease,85+,204.0
Kansas,Alzheimer disease,Not stated,0.0
Kansas,Alzheimer disease,All Ages,307.0
Kansas,Vascular and unspecified dementia,0-24,0.0
Kansas,Vascular and unspecified dementia,25-34,0.0
Kansas,Vascular and unspecified dementia,35-44,0.0
Kansas,Vascular and unspecified dementia,45-54,0
Kansas,Vascular and unspecified dementia,55-64,16.0
Kansas,Vascular and unspecified dementia,65-74,63.0
Kansas,Vascular and unspecified dementia,75-84,275.0
Kansas,Vascular and unspecified dementia,85+,614.0
Kansas,Vascular and unspecified dementia,Not stated,0.0
Kansas,Vascular and unspecified dementia,All Ages,969.0
Kansas,Renal failure,0-24,0
Kansas,Renal failure,25-34,0
Kansas,Renal failure,35-44,20.0
Kansas,Renal failure,45-54,53.0
Kansas,Renal failure,55-64,163.0
Kansas,Renal failure,65-74,241.0
Kansas,Renal failure,75-84,282.0
Kansas,Renal failure,85+,294.0
Kansas,Renal failure,Not stated,0.0
Kansas,Renal failure,All Ages,1062.0
Kansas,"Intentional and unintentional injury, and other adverse events",500.0
Kansas,All other conditions and causes (residual),0-24,22.0
Kansas,All other conditions and causes (residual),25-34,41.0
Kansas,All other conditions and causes (residual),35-44,113.0
Kansas,All other conditions and causes (residual),45-54,242.0
Kansas,All other conditions and causes (residual),55-64,562.0
Kansas,All other conditions and causes (residual),65-74,988.0
Kansas,All other conditions and causes (residual),75-84,1161.0
Kansas,All other conditions and causes (residual),85+,1297.0
Kansas,All other conditions and causes (residual),Not stated,0.0
Kansas,All other conditions and causes (residual),All Ages,4426.0
Kansas,COVID-19,0-24,43.0
Kansas,COVID-19,25-34,81.0
Kansas,COVID-19,35-44,242.0
Kansas,COVID-19,45-54,565.0
Kansas,COVID-19,55-64,1283.0
Kansas,COVID-19,65-74,2137.0
Kansas,COVID-19,75-84,2663.0
Kansas,COVID-19,85+,3138.0
Kansas,COVID-19,Not stated,0.0
Kansas,COVID-19,All Ages,10152.0
Kentucky,Respiratory diseases,0-24,65.0
Kentucky,Respiratory diseases,25-34,196.0
Kentucky,Respiratory diseases,35-44,634.0
Kentucky,Respiratory diseases,45-54,1674.0
Kentucky,Respiratory diseases,55-64,4127.0
Kentucky,Respiratory diseases,65-74,6810.0
Kentucky,Respiratory diseases,75-84,6805.0
Kentucky,Respiratory diseases,85+,4322.0
Kentucky,Respiratory diseases,Not stated,0.0
Kentucky,Respiratory diseases,All Ages,24653.0
Kentucky,Circulatory diseases,0-24,0.0
Kentucky,Circulatory diseases,25-34,39.0
Kentucky,Circulatory diseases,35-44,212.0
Kentucky,Circulatory diseases,45-54,616.0
Kentucky,Circulatory diseases,55-64,1811.0
Kentucky,Circulatory diseases,65-74,3556.0
Kentucky,Circulatory diseases,75-84,4622.0
Kentucky,Circulatory diseases,85+,4379.0
Kentucky,Circulatory diseases,Not stated,0.0
Kentucky,Circulatory diseases,All Ages,15283.0
Kentucky,Sepsis,0-24,0
Kentucky,Sepsis,25-34,30.0
Kentucky,Sepsis,35-44,91.0
Kentucky,Sepsis,45-54,266.0
Kentucky,Sepsis,55-64,642.0
Kentucky,Sepsis,65-74,1002.0
Kentucky,Sepsis,75-84,855.0
Kentucky,Sepsis,85+,450.0
Kentucky,Sepsis,Not stated,0
Kentucky,Sepsis,All Ages,3343.0
Kentucky,Malignant neoplasms,0-24,0
Kentucky,Malignant neoplasms,25-34,0
Kentucky,Malignant neoplasms,35-44,16.0
Kentucky,Malignant neoplasms,45-54,68.0
Kentucky,Malignant neoplasms,55-64,258.0
Kentucky,Malignant neoplasms,65-74,532.0
Kentucky,Malignant neoplasms,75-84,519.0
Kentucky,Malignant neoplasms,85+,321.0
Kentucky,Malignant neoplasms,Not stated,0.0
Kentucky,Malignant neoplasms,All Ages,1725.0
Kentucky,Diabetes,0-24,0
Kentucky,Diabetes,25-34,0
Kentucky,Diabetes,35-44,75.0
Kentucky,Diabetes,45-54,236.0
Kentucky,Diabetes,55-64,582.0
Kentucky,Diabetes,65-74,986.0
Kentucky,Diabetes,75-84,1087.0
Kentucky,Diabetes,85+,641.0
Kentucky,Diabetes,Not stated,0
Kentucky,Diabetes,All Ages,3621.0
Kentucky,Obesity,0-24,11.0
Kentucky,Obesity,25-34,38.0
Kentucky,Obesity,35-44,95.0
Kentucky,Obesity,45-54,139.0
Kentucky,Obesity,55-64,198.0
Kentucky,Obesity,65-74,177.0
Kentucky,Obesity,75-84,86.0
Kentucky,Obesity,85+,20.0
Kentucky,Obesity,Not stated,0.0
Kentucky,Obesity,All Ages,764.0
Kentucky,Alzheimer disease,0-24,0.0
Kentucky,Alzheimer disease,25-34,0.0
Kentucky,Alzheimer disease,35-44,0.0
Kentucky,Alzheimer disease,45-54,0
Kentucky,Alzheimer disease,55-64,0
Kentucky,Alzheimer disease,65-74,47.0
Kentucky,Alzheimer disease,75-84,191.0
Kentucky,Alzheimer disease,85+,347.0
Kentucky,Alzheimer disease,Not stated,0.0
Kentucky,Alzheimer disease,All Ages,591.0
Kentucky,Vascular and unspecified dementia,0-24,0.0
Kentucky,Vascular and unspecified dementia,25-34,0.0
Kentucky,Vascular and unspecified dementia,35-44,0
Kentucky,Vascular and unspecified dementia,45-54,0
Kentucky,Vascular and unspecified dementia,55-64,24.0
Kentucky,Vascular and unspecified dementia,65-74,207.0
Kentucky,Vascular and unspecified dementia,75-84,733.0
Kentucky,Vascular and unspecified dementia,85+,1254.0
Kentucky,Vascular and unspecified dementia,Not stated,0.0
Kentucky,Vascular and unspecified dementia,All Ages,2224.0
Kentucky,Renal failure,0-24,0
Kentucky,Renal failure,25-34,21.0
Kentucky,Renal failure,35-44,81.0
Kentucky,Renal failure,45-54,222.0
Kentucky,Renal failure,55-64,496.0
Kentucky,Renal failure,65-74,873.0
Kentucky,Renal failure,75-84,897.0
Kentucky,Renal failure,85+,649.0
Kentucky,Renal failure,Not stated,0
Kentucky,Renal failure,All Ages,3242.0
Kentucky,"Intentional and unintentional injury, and other adverse events",1325.0
Kentucky,All other conditions and causes (residual),0-24,39.0
Kentucky,All other conditions and causes (residual),25-34,77.0
Kentucky,All other conditions and causes (residual),35-44,233.0
Kentucky,All other conditions and causes (residual),45-54,653.0
Kentucky,All other conditions and causes (residual),55-64,1552.0
Kentucky,All other conditions and causes (residual),65-74,2731.0
Kentucky,All other conditions and causes (residual),75-84,3147.0
Kentucky,All other conditions and causes (residual),85+,2518.0
Kentucky,All other conditions and causes (residual),Not stated,0
Kentucky,All other conditions and causes (residual),All Ages,10952.0
Kentucky,COVID-19,0-24,67.0
Kentucky,COVID-19,25-34,164.0
Kentucky,COVID-19,35-44,457.0
Kentucky,COVID-19,45-54,1201.0
Kentucky,COVID-19,55-64,2865.0
Kentucky,COVID-19,65-74,4900.0
Kentucky,COVID-19,75-84,5645.0
Kentucky,COVID-19,85+,4980.0
Kentucky,COVID-19,Not stated,0
Kentucky,COVID-19,All Ages,20281.0
Louisiana,Respiratory diseases,0-24,78.0
Louisiana,Respiratory diseases,25-34,267.0
Louisiana,Respiratory diseases,35-44,681.0
Louisiana,Respiratory diseases,45-54,1515.0
Louisiana,Respiratory diseases,55-64,3516.0
Louisiana,Respiratory diseases,65-74,5512.0
Louisiana,Respiratory diseases,75-84,5631.0
Louisiana,Respiratory diseases,85+,3811.0
Louisiana,Respiratory diseases,Not stated,0.0
Louisiana,Respiratory diseases,All Ages,21039.0
Louisiana,Circulatory diseases,0-24,0.0
Louisiana,Circulatory diseases,25-34,52.0
Louisiana,Circulatory diseases,35-44,278.0
Louisiana,Circulatory diseases,45-54,686.0
Louisiana,Circulatory diseases,55-64,1631.0
Louisiana,Circulatory diseases,65-74,2951.0
Louisiana,Circulatory diseases,75-84,3457.0
Louisiana,Circulatory diseases,85+,2773.0
Louisiana,Circulatory diseases,Not stated,0.0
Louisiana,Circulatory diseases,All Ages,11875.0
Louisiana,Sepsis,0-24,0
Louisiana,Sepsis,25-34,20.0
Louisiana,Sepsis,35-44,54.0
Louisiana,Sepsis,45-54,125.0
Louisiana,Sepsis,55-64,292.0
Louisiana,Sepsis,65-74,451.0
Louisiana,Sepsis,75-84,409.0
Louisiana,Sepsis,85+,247.0
Louisiana,Sepsis,Not stated,0.0
Louisiana,Sepsis,All Ages,1606.0
Louisiana,Malignant neoplasms,0-24,0
Louisiana,Malignant neoplasms,25-34,0
Louisiana,Malignant neoplasms,35-44,16.0
Louisiana,Malignant neoplasms,45-54,40.0
Louisiana,Malignant neoplasms,55-64,148.0
Louisiana,Malignant neoplasms,65-74,277.0
Louisiana,Malignant neoplasms,75-84,268.0
Louisiana,Malignant neoplasms,85+,164.0
Louisiana,Malignant neoplasms,Not stated,0.0
Louisiana,Malignant neoplasms,All Ages,916.0
Louisiana,Diabetes,0-24,0
Louisiana,Diabetes,25-34,19.0
Louisiana,Diabetes,35-44,71.0
Louisiana,Diabetes,45-54,254.0
Louisiana,Diabetes,55-64,445.0
Louisiana,Diabetes,65-74,735.0
Louisiana,Diabetes,75-84,686.0
Louisiana,Diabetes,85+,368.0
Louisiana,Diabetes,Not stated,0.0
Louisiana,Diabetes,All Ages,2585.0
Louisiana,Obesity,0-24,12.0
Louisiana,Obesity,25-34,36.0
Louisiana,Obesity,35-44,106.0
Louisiana,Obesity,45-54,155.0
Louisiana,Obesity,55-64,204.0
Louisiana,Obesity,65-74,202.0
Louisiana,Obesity,75-84,108.0
Louisiana,Obesity,85+,19.0
Louisiana,Obesity,Not stated,0.0
Louisiana,Obesity,All Ages,842.0
Louisiana,Alzheimer disease,0-24,0.0
Louisiana,Alzheimer disease,25-34,0.0
Louisiana,Alzheimer disease,35-44,0.0
Louisiana,Alzheimer disease,45-54,0
Louisiana,Alzheimer disease,55-64,0
Louisiana,Alzheimer disease,65-74,35.0
Louisiana,Alzheimer disease,75-84,156.0
Louisiana,Alzheimer disease,85+,260.0
Louisiana,Alzheimer disease,Not stated,0.0
Louisiana,Alzheimer disease,All Ages,458.0
Louisiana,Vascular and unspecified dementia,0-24,0.0
Louisiana,Vascular and unspecified dementia,25-34,0.0
Louisiana,Vascular and unspecified dementia,35-44,0.0
Louisiana,Vascular and unspecified dementia,45-54,0
Louisiana,Vascular and unspecified dementia,55-64,28.0
Louisiana,Vascular and unspecified dementia,65-74,97.0
Louisiana,Vascular and unspecified dementia,75-84,293.0
Louisiana,Vascular and unspecified dementia,85+,443.0
Louisiana,Vascular and unspecified dementia,Not stated,0.0
Louisiana,Vascular and unspecified dementia,All Ages,863.0
Louisiana,Renal failure,0-24,0
Louisiana,Renal failure,25-34,21.0
Louisiana,Renal failure,35-44,39.0
Louisiana,Renal failure,45-54,104.0
Louisiana,Renal failure,55-64,199.0
Louisiana,Renal failure,65-74,362.0
Louisiana,Renal failure,75-84,356.0
Louisiana,Renal failure,85+,225.0
Louisiana,Renal failure,Not stated,0.0
Louisiana,Renal failure,All Ages,1310.0
Louisiana,"Intentional and unintentional injury, and other adverse events",678.0
Louisiana,All other conditions and causes (residual),0-24,58.0
Louisiana,All other conditions and causes (residual),25-34,92.0
Louisiana,All other conditions and causes (residual),35-44,194.0
Louisiana,All other conditions and causes (residual),45-54,405.0
Louisiana,All other conditions and causes (residual),55-64,930.0
Louisiana,All other conditions and causes (residual),65-74,1563.0
Louisiana,All other conditions and causes (residual),75-84,1642.0
Louisiana,All other conditions and causes (residual),85+,1324.0
Louisiana,All other conditions and causes (residual),Not stated,0.0
Louisiana,All other conditions and causes (residual),All Ages,6208.0
Louisiana,COVID-19,0-24,111.0
Louisiana,COVID-19,25-34,234.0
Louisiana,COVID-19,35-44,572.0
Louisiana,COVID-19,45-54,1252.0
Louisiana,COVID-19,55-64,2793.0
Louisiana,COVID-19,65-74,4384.0
Louisiana,COVID-19,75-84,4679.0
Louisiana,COVID-19,85+,3689.0
Louisiana,COVID-19,Not stated,0.0
Louisiana,COVID-19,All Ages,17714.0
Maine,Respiratory diseases,0-24,0.0
Maine,Respiratory diseases,25-34,0.0
Maine,Respiratory diseases,35-44,16.0
Maine,Respiratory diseases,45-54,67.0
Maine,Respiratory diseases,55-64,253.0
Maine,Respiratory diseases,65-74,476.0
Maine,Respiratory diseases,75-84,578.0
Maine,Respiratory diseases,85+,436.0
Maine,Respiratory diseases,Not stated,0.0
Maine,Respiratory diseases,All Ages,1888.0
Maine,Circulatory diseases,0-24,0.0
Maine,Circulatory diseases,25-34,0.0
Maine,Circulatory diseases,35-44,0.0
Maine,Circulatory diseases,45-54,24.0
Maine,Circulatory diseases,55-64,147.0
Maine,Circulatory diseases,65-74,318.0
Maine,Circulatory diseases,75-84,498.0
Maine,Circulatory diseases,85+,633.0
Maine,Circulatory diseases,Not stated,0.0
Maine,Circulatory diseases,All Ages,1675.0
Maine,Sepsis,0-24,0.0
Maine,Sepsis,25-34,0.0
Maine,Sepsis,35-44,0
Maine,Sepsis,45-54,0
Maine,Sepsis,55-64,14.0
Maine,Sepsis,65-74,18.0
Maine,Sepsis,75-84,12.0
Maine,Sepsis,85+,0
Maine,Sepsis,Not stated,0.0
Maine,Sepsis,All Ages,59.0
Maine,Malignant neoplasms,0-24,0.0
Maine,Malignant neoplasms,25-34,0.0
Maine,Malignant neoplasms,35-44,0
Maine,Malignant neoplasms,45-54,0
Maine,Malignant neoplasms,55-64,33.0
Maine,Malignant neoplasms,65-74,70.0
Maine,Malignant neoplasms,75-84,75.0
Maine,Malignant neoplasms,85+,40.0
Maine,Malignant neoplasms,Not stated,0.0
Maine,Malignant neoplasms,All Ages,229.0
Maine,Diabetes,0-24,0.0
Maine,Diabetes,25-34,0
Maine,Diabetes,35-44,0
Maine,Diabetes,45-54,15.0
Maine,Diabetes,55-64,38.0
Maine,Diabetes,65-74,68.0
Maine,Diabetes,75-84,90.0
Maine,Diabetes,85+,75.0
Maine,Diabetes,Not stated,0.0
