State,Condition Group,Condition,Age Group,COVID-19 Deaths
Idaho,Sepsis,Sepsis,0-24,0.0
Idaho,Sepsis,Sepsis,25-34,
Idaho,Sepsis,Sepsis,35-44,18.0
Idaho,Sepsis,Sepsis,45-54,40.0
Idaho,Sepsis,Sepsis,55-64,71.0
Idaho,Sepsis,Sepsis,65-74,116.0
Idaho,Sepsis,Sepsis,75-84,84.0
Idaho,Sepsis,Sepsis,85+,60.0
Idaho,Sepsis,Sepsis,Not stated,0.0
Idaho,Sepsis,Sepsis,All Ages,392.0
Idaho,Malignant neoplasms,Malignant neoplasms,0-24,
Idaho,Malignant neoplasms,Malignant neoplasms,25-34,
Idaho,Malignant neoplasms,Malignant neoplasms,35-44,
Idaho,Malignant neoplasms,Malignant neoplasms,45-54,11.0
Idaho,Malignant neoplasms,Malignant neoplasms,55-64,41.0
Idaho,Malignant neoplasms,Malignant neoplasms,65-74,93.0
Idaho,Malignant neoplasms,Malignant neoplasms,75-84,144.0
Idaho,Malignant neoplasms,Malignant neoplasms,85+,87.0
Idaho,Malignant neoplasms,Malignant neoplasms,Not stated,0.0
Idaho,Malignant neoplasms,Malignant neoplasms,All Ages,382.0
Idaho,Diabetes,Diabetes,0-24,
Idaho,Diabetes,Diabetes,25-34,
Idaho,Diabetes,Diabetes,35-44,22.0
Idaho,Diabetes,Diabetes,45-54,48.0
Idaho,Diabetes,Diabetes,55-64,113.0
Idaho,Diabetes,Diabetes,65-74,234.0
Idaho,Diabetes,Diabetes,75-84,249.0
Idaho,Diabetes,Diabetes,85+,187.0
Idaho,Diabetes,Diabetes,Not stated,0.0
Idaho,Diabetes,Diabetes,All Ages,858.0
Idaho,Obesity,Obesity,0-24,0.0
Idaho,Obesity,Obesity,25-34,13.0
Idaho,Obesity,Obesity,35-44,26.0
Idaho,Obesity,Obesity,45-54,64.0
Idaho,Obesity,Obesity,55-64,94.0
Idaho,Obesity,Obesity,65-74,98.0
Idaho,Obesity,Obesity,75-84,54.0
Idaho,Obesity,Obesity,85+,14.0
Idaho,Obesity,Obesity,Not stated,0.0
Idaho,Obesity,Obesity,All Ages,363.0
Idaho,Alzheimer disease,Alzheimer disease,0-24,0.0
Idaho,Alzheimer disease,Alzheimer disease,25-34,0.0
Idaho,Alzheimer disease,Alzheimer disease,35-44,0.0
Idaho,Alzheimer disease,Alzheimer disease,45-54,
Idaho,Alzheimer disease,Alzheimer disease,55-64,0.0
Idaho,Alzheimer disease,Alzheimer disease,65-74,22.0
Idaho,Alzheimer disease,Alzheimer disease,75-84,72.0
Idaho,Alzheimer disease,Alzheimer disease,85+,125.0
Idaho,Alzheimer disease,Alzheimer disease,Not stated,0.0
Idaho,Alzheimer disease,Alzheimer disease,All Ages,220.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,0.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,0.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,0.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,32.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,148.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,85+,280.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,Not stated,0.0
Idaho,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,465.0
Idaho,Renal failure,Renal failure,0-24,0.0
Idaho,Renal failure,Renal failure,25-34,
Idaho,Renal failure,Renal failure,35-44,12.0
Idaho,Renal failure,Renal failure,45-54,47.0
Idaho,Renal failure,Renal failure,55-64,88.0
Idaho,Renal failure,Renal failure,65-74,132.0
Idaho,Renal failure,Renal failure,75-84,148.0
Idaho,Renal failure,Renal failure,85+,111.0
Idaho,Renal failure,Renal failure,Not stated,0.0
Idaho,Renal failure,Renal failure,All Ages,540.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,21.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,44.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,45.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",85+,54.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",Not stated,0.0
Idaho,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,184.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),0-24,
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),25-34,11.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),35-44,67.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),45-54,141.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),55-64,353.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),65-74,678.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),75-84,826.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),85+,865.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),Not stated,0.0
Idaho,All other conditions and causes (residual),All other conditions and causes (residual),All Ages,2948.0
Idaho,COVID-19,COVID-19,0-24,17.0
Idaho,COVID-19,COVID-19,25-34,33.0
Idaho,COVID-19,COVID-19,35-44,124.0
Idaho,COVID-19,COVID-19,45-54,320.0
Idaho,COVID-19,COVID-19,55-64,701.0
Idaho,COVID-19,COVID-19,65-74,1289.0
Idaho,COVID-19,COVID-19,75-84,1582.0
Idaho,COVID-19,COVID-19,85+,1548.0
Idaho,COVID-19,COVID-19,Not stated,0.0
Idaho,COVID-19,COVID-19,All Ages,5614.0
Illinois,Respiratory diseases,Influenza and pneumonia,0-24,48.0
Illinois,Respiratory diseases,Influenza and pneumonia,25-34,162.0
Illinois,Respiratory diseases,Influenza and pneumonia,35-44,402.0
Illinois,Respiratory diseases,Influenza and pneumonia,45-54,1054.0
Illinois,Respiratory diseases,Influenza and pneumonia,55-64,2501.0
Illinois,Respiratory diseases,Influenza and pneumonia,65-74,4153.0
Illinois,Respiratory diseases,Influenza and pneumonia,75-84,4759.0
Illinois,Respiratory diseases,Influenza and pneumonia,85+,4758.0
Illinois,Respiratory diseases,Influenza and pneumonia,Not stated,
Illinois,Respiratory diseases,Influenza and pneumonia,All Ages,17838.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,0-24,10.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,25-34,32.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,35-44,55.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,45-54,174.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,55-64,561.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,65-74,1219.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,75-84,1533.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,85+,1251.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,Not stated,0.0
Illinois,Respiratory diseases,Chronic lower respiratory diseases,All Ages,4835.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,0-24,
Illinois,Respiratory diseases,Adult respiratory distress syndrome,25-34,25.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,35-44,63.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,45-54,156.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,55-64,355.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,65-74,449.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,75-84,272.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,85+,120.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,Not stated,0.0
Illinois,Respiratory diseases,Adult respiratory distress syndrome,All Ages,1442.0
Illinois,Respiratory diseases,Respiratory failure,0-24,27.0
Illinois,Respiratory diseases,Respiratory failure,25-34,91.0
Illinois,Respiratory diseases,Respiratory failure,35-44,254.0
Illinois,Respiratory diseases,Respiratory failure,45-54,682.0
Illinois,Respiratory diseases,Respiratory failure,55-64,1726.0
Illinois,Respiratory diseases,Respiratory failure,65-74,3049.0
Illinois,Respiratory diseases,Respiratory failure,75-84,3396.0
Illinois,Respiratory diseases,Respiratory failure,85+,3078.0
Illinois,Respiratory diseases,Respiratory failure,Not stated,0.0
Illinois,Respiratory diseases,Respiratory failure,All Ages,12303.0
Illinois,Respiratory diseases,Respiratory arrest,0-24,
Illinois,Respiratory diseases,Respiratory arrest,25-34,
Illinois,Respiratory diseases,Respiratory arrest,35-44,
Illinois,Respiratory diseases,Respiratory arrest,45-54,21.0
Illinois,Respiratory diseases,Respiratory arrest,55-64,45.0
Illinois,Respiratory diseases,Respiratory arrest,65-74,98.0
Illinois,Respiratory diseases,Respiratory arrest,75-84,107.0
Illinois,Respiratory diseases,Respiratory arrest,85+,128.0
Illinois,Respiratory diseases,Respiratory arrest,Not stated,0.0
Illinois,Respiratory diseases,Respiratory arrest,All Ages,410.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,0-24,12.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,25-34,24.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,35-44,26.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,45-54,73.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,55-64,160.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,65-74,266.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,75-84,363.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,85+,403.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,Not stated,0.0
Illinois,Respiratory diseases,Other diseases of the respiratory system,All Ages,1327.0
Illinois,Circulatory diseases,Hypertensive diseases,0-24,
Illinois,Circulatory diseases,Hypertensive diseases,25-34,54.0
Illinois,Circulatory diseases,Hypertensive diseases,35-44,219.0
Illinois,Circulatory diseases,Hypertensive diseases,45-54,603.0
Illinois,Circulatory diseases,Hypertensive diseases,55-64,1691.0
Illinois,Circulatory diseases,Hypertensive diseases,65-74,3029.0
Illinois,Circulatory diseases,Hypertensive diseases,75-84,3476.0
Illinois,Circulatory diseases,Hypertensive diseases,85+,4060.0
Illinois,Circulatory diseases,Hypertensive diseases,Not stated,
Illinois,Circulatory diseases,Hypertensive diseases,All Ages,13138.0
Illinois,Circulatory diseases,Ischemic heart disease,0-24,0.0
Illinois,Circulatory diseases,Ischemic heart disease,25-34,
Illinois,Circulatory diseases,Ischemic heart disease,35-44,31.0
Illinois,Circulatory diseases,Ischemic heart disease,45-54,119.0
Illinois,Circulatory diseases,Ischemic heart disease,55-64,456.0
Illinois,Circulatory diseases,Ischemic heart disease,65-74,1061.0
Illinois,Circulatory diseases,Ischemic heart disease,75-84,1525.0
Illinois,Circulatory diseases,Ischemic heart disease,85+,1641.0
Illinois,Circulatory diseases,Ischemic heart disease,Not stated,0.0
Illinois,Circulatory diseases,Ischemic heart disease,All Ages,4840.0
Illinois,Circulatory diseases,Cardiac arrest,0-24,
Illinois,Circulatory diseases,Cardiac arrest,25-34,20.0
Illinois,Circulatory diseases,Cardiac arrest,35-44,52.0
Illinois,Circulatory diseases,Cardiac arrest,45-54,112.0
Illinois,Circulatory diseases,Cardiac arrest,55-64,256.0
Illinois,Circulatory diseases,Cardiac arrest,65-74,432.0
Illinois,Circulatory diseases,Cardiac arrest,75-84,432.0
Illinois,Circulatory diseases,Cardiac arrest,85+,437.0
Illinois,Circulatory diseases,Cardiac arrest,Not stated,0.0
Illinois,Circulatory diseases,Cardiac arrest,All Ages,1744.0
Illinois,Circulatory diseases,Cardiac arrhythmia,0-24,0.0
Illinois,Circulatory diseases,Cardiac arrhythmia,25-34,
Illinois,Circulatory diseases,Cardiac arrhythmia,35-44,
Illinois,Circulatory diseases,Cardiac arrhythmia,45-54,39.0
Illinois,Circulatory diseases,Cardiac arrhythmia,55-64,200.0
Illinois,Circulatory diseases,Cardiac arrhythmia,65-74,560.0
Illinois,Circulatory diseases,Cardiac arrhythmia,75-84,989.0
Illinois,Circulatory diseases,Cardiac arrhythmia,85+,1469.0
Illinois,Circulatory diseases,Cardiac arrhythmia,Not stated,0.0
Illinois,Circulatory diseases,Cardiac arrhythmia,All Ages,3269.0
Illinois,Circulatory diseases,Heart failure,0-24,
Illinois,Circulatory diseases,Heart failure,25-34,
Illinois,Circulatory diseases,Heart failure,35-44,28.0
Illinois,Circulatory diseases,Heart failure,45-54,92.0
Illinois,Circulatory diseases,Heart failure,55-64,334.0
Illinois,Circulatory diseases,Heart failure,65-74,725.0
Illinois,Circulatory diseases,Heart failure,75-84,1204.0
Illinois,Circulatory diseases,Heart failure,85+,1817.0
Illinois,Circulatory diseases,Heart failure,Not stated,0.0
Illinois,Circulatory diseases,Heart failure,All Ages,4210.0
Illinois,Circulatory diseases,Cerebrovascular diseases,0-24,
Illinois,Circulatory diseases,Cerebrovascular diseases,25-34,
Illinois,Circulatory diseases,Cerebrovascular diseases,35-44,16.0
Illinois,Circulatory diseases,Cerebrovascular diseases,45-54,61.0
Illinois,Circulatory diseases,Cerebrovascular diseases,55-64,172.0
Illinois,Circulatory diseases,Cerebrovascular diseases,65-74,302.0
Illinois,Circulatory diseases,Cerebrovascular diseases,75-84,460.0
Illinois,Circulatory diseases,Cerebrovascular diseases,85+,623.0
Illinois,Circulatory diseases,Cerebrovascular diseases,Not stated,0.0
Illinois,Circulatory diseases,Cerebrovascular diseases,All Ages,1642.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,0-24,12.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,25-34,34.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,35-44,63.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,45-54,129.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,55-64,326.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,65-74,494.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,75-84,620.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,85+,726.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,Not stated,0.0
Illinois,Circulatory diseases,Other diseases of the circulatory system,All Ages,2404.0
Illinois,Sepsis,Sepsis,0-24,
Illinois,Sepsis,Sepsis,25-34,25.0
Illinois,Sepsis,Sepsis,35-44,68.0
Illinois,Sepsis,Sepsis,45-54,144.0
Illinois,Sepsis,Sepsis,55-64,373.0
Illinois,Sepsis,Sepsis,65-74,636.0
Illinois,Sepsis,Sepsis,75-84,675.0
Illinois,Sepsis,Sepsis,85+,551.0
Illinois,Sepsis,Sepsis,Not stated,0.0
Illinois,Sepsis,Sepsis,All Ages,2476.0
Illinois,Malignant neoplasms,Malignant neoplasms,0-24,
Illinois,Malignant neoplasms,Malignant neoplasms,25-34,16.0
Illinois,Malignant neoplasms,Malignant neoplasms,35-44,42.0
Illinois,Malignant neoplasms,Malignant neoplasms,45-54,88.0
Illinois,Malignant neoplasms,Malignant neoplasms,55-64,374.0
Illinois,Malignant neoplasms,Malignant neoplasms,65-74,750.0
Illinois,Malignant neoplasms,Malignant neoplasms,75-84,850.0
Illinois,Malignant neoplasms,Malignant neoplasms,85+,555.0
Illinois,Malignant neoplasms,Malignant neoplasms,Not stated,0.0
Illinois,Malignant neoplasms,Malignant neoplasms,All Ages,2679.0
Illinois,Diabetes,Diabetes,0-24,
Illinois,Diabetes,Diabetes,25-34,58.0
Illinois,Diabetes,Diabetes,35-44,185.0
Illinois,Diabetes,Diabetes,45-54,528.0
Illinois,Diabetes,Diabetes,55-64,1377.0
Illinois,Diabetes,Diabetes,65-74,2283.0
Illinois,Diabetes,Diabetes,75-84,2235.0
Illinois,Diabetes,Diabetes,85+,1625.0
Illinois,Diabetes,Diabetes,Not stated,0.0
Illinois,Diabetes,Diabetes,All Ages,8300.0
Illinois,Obesity,Obesity,0-24,24.0
Illinois,Obesity,Obesity,25-34,133.0
Illinois,Obesity,Obesity,35-44,227.0
Illinois,Obesity,Obesity,45-54,409.0
Illinois,Obesity,Obesity,55-64,548.0
Illinois,Obesity,Obesity,65-74,535.0
Illinois,Obesity,Obesity,75-84,272.0
Illinois,Obesity,Obesity,85+,86.0
Illinois,Obesity,Obesity,Not stated,0.0
Illinois,Obesity,Obesity,All Ages,2234.0
Illinois,Alzheimer disease,Alzheimer disease,0-24,0.0
Illinois,Alzheimer disease,Alzheimer disease,25-34,0.0
Illinois,Alzheimer disease,Alzheimer disease,35-44,
Illinois,Alzheimer disease,Alzheimer disease,45-54,
Illinois,Alzheimer disease,Alzheimer disease,55-64,
Illinois,Alzheimer disease,Alzheimer disease,65-74,68.0
Illinois,Alzheimer disease,Alzheimer disease,75-84,287.0
Illinois,Alzheimer disease,Alzheimer disease,85+,688.0
Illinois,Alzheimer disease,Alzheimer disease,Not stated,0.0
Illinois,Alzheimer disease,Alzheimer disease,All Ages,1054.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,0.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,0.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,0.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,54.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,271.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,932.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,85+,1990.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,Not stated,0.0
Illinois,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,3249.0
Illinois,Renal failure,Renal failure,0-24,
Illinois,Renal failure,Renal failure,25-34,19.0
Illinois,Renal failure,Renal failure,35-44,52.0
Illinois,Renal failure,Renal failure,45-54,124.0
Illinois,Renal failure,Renal failure,55-64,331.0
Illinois,Renal failure,Renal failure,65-74,563.0
Illinois,Renal failure,Renal failure,75-84,719.0
Illinois,Renal failure,Renal failure,85+,758.0
Illinois,Renal failure,Renal failure,Not stated,0.0
Illinois,Renal failure,Renal failure,All Ages,2568.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,12.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,21.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,34.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,65.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,99.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,188.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,196.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",85+,283.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",Not stated,0.0
Illinois,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,898.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),0-24,48.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),25-34,140.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),35-44,283.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),45-54,716.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),55-64,1795.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),65-74,3016.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),75-84,3402.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),85+,3922.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),Not stated,0.0
Illinois,All other conditions and causes (residual),All other conditions and causes (residual),All Ages,13322.0
Illinois,COVID-19,COVID-19,0-24,113.0
Illinois,COVID-19,COVID-19,25-34,379.0
Illinois,COVID-19,COVID-19,35-44,867.0
Illinois,COVID-19,COVID-19,45-54,2079.0
Illinois,COVID-19,COVID-19,55-64,4905.0
Illinois,COVID-19,COVID-19,65-74,8324.0
Illinois,COVID-19,COVID-19,75-84,10039.0
Illinois,COVID-19,COVID-19,85+,12014.0
Illinois,COVID-19,COVID-19,Not stated,
Illinois,COVID-19,COVID-19,All Ages,38721.0
Indiana,Respiratory diseases,Influenza and pneumonia,0-24,48.0
Indiana,Respiratory diseases,Influenza and pneumonia,25-34,108.0
Indiana,Respiratory diseases,Influenza and pneumonia,35-44,294.0
Indiana,Respiratory diseases,Influenza and pneumonia,45-54,804.0
Indiana,Respiratory diseases,Influenza and pneumonia,55-64,1977.0
Indiana,Respiratory diseases,Influenza and pneumonia,65-74,3195.0
Indiana,Respiratory diseases,Influenza and pneumonia,75-84,3551.0
Indiana,Respiratory diseases,Influenza and pneumonia,85+,2943.0
Indiana,Respiratory diseases,Influenza and pneumonia,Not stated,
Indiana,Respiratory diseases,Influenza and pneumonia,All Ages,12921.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,0-24,
Indiana,Respiratory diseases,Chronic lower respiratory diseases,25-34,
Indiana,Respiratory diseases,Chronic lower respiratory diseases,35-44,21.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,45-54,91.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,55-64,404.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,65-74,935.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,75-84,1095.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,85+,817.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,Not stated,0.0
Indiana,Respiratory diseases,Chronic lower respiratory diseases,All Ages,3376.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,0-24,15.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,25-34,23.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,35-44,80.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,45-54,206.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,55-64,468.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,65-74,578.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,75-84,448.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,85+,183.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,Not stated,0.0
Indiana,Respiratory diseases,Adult respiratory distress syndrome,All Ages,2001.0
Indiana,Respiratory diseases,Respiratory failure,0-24,20.0
Indiana,Respiratory diseases,Respiratory failure,25-34,64.0
Indiana,Respiratory diseases,Respiratory failure,35-44,212.0
Indiana,Respiratory diseases,Respiratory failure,45-54,554.0
Indiana,Respiratory diseases,Respiratory failure,55-64,1545.0
Indiana,Respiratory diseases,Respiratory failure,65-74,2711.0
Indiana,Respiratory diseases,Respiratory failure,75-84,3184.0
Indiana,Respiratory diseases,Respiratory failure,85+,2490.0
Indiana,Respiratory diseases,Respiratory failure,Not stated,
Indiana,Respiratory diseases,Respiratory failure,All Ages,10781.0
Indiana,Respiratory diseases,Respiratory arrest,0-24,
Indiana,Respiratory diseases,Respiratory arrest,25-34,
Indiana,Respiratory diseases,Respiratory arrest,35-44,
Indiana,Respiratory diseases,Respiratory arrest,45-54,18.0
Indiana,Respiratory diseases,Respiratory arrest,55-64,51.0
Indiana,Respiratory diseases,Respiratory arrest,65-74,93.0
Indiana,Respiratory diseases,Respiratory arrest,75-84,103.0
Indiana,Respiratory diseases,Respiratory arrest,85+,128.0
Indiana,Respiratory diseases,Respiratory arrest,Not stated,0.0
Indiana,Respiratory diseases,Respiratory arrest,All Ages,399.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,0-24,
Indiana,Respiratory diseases,Other diseases of the respiratory system,25-34,16.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,35-44,36.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,45-54,122.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,55-64,276.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,65-74,447.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,75-84,491.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,85+,403.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,Not stated,0.0
Indiana,Respiratory diseases,Other diseases of the respiratory system,All Ages,1799.0
Indiana,Circulatory diseases,Hypertensive diseases,0-24,
Indiana,Circulatory diseases,Hypertensive diseases,25-34,11.0
Indiana,Circulatory diseases,Hypertensive diseases,35-44,62.0
Indiana,Circulatory diseases,Hypertensive diseases,45-54,177.0
Indiana,Circulatory diseases,Hypertensive diseases,55-64,507.0
Indiana,Circulatory diseases,Hypertensive diseases,65-74,923.0
Indiana,Circulatory diseases,Hypertensive diseases,75-84,1251.0
Indiana,Circulatory diseases,Hypertensive diseases,85+,1663.0
Indiana,Circulatory diseases,Hypertensive diseases,Not stated,0.0
Indiana,Circulatory diseases,Hypertensive diseases,All Ages,4595.0
Indiana,Circulatory diseases,Ischemic heart disease,0-24,0.0
Indiana,Circulatory diseases,Ischemic heart disease,25-34,
Indiana,Circulatory diseases,Ischemic heart disease,35-44,22.0
Indiana,Circulatory diseases,Ischemic heart disease,45-54,81.0
Indiana,Circulatory diseases,Ischemic heart disease,55-64,305.0
Indiana,Circulatory diseases,Ischemic heart disease,65-74,756.0
Indiana,Circulatory diseases,Ischemic heart disease,75-84,1056.0
Indiana,Circulatory diseases,Ischemic heart disease,85+,1020.0
Indiana,Circulatory diseases,Ischemic heart disease,Not stated,0.0
Indiana,Circulatory diseases,Ischemic heart disease,All Ages,3245.0
Indiana,Circulatory diseases,Cardiac arrest,0-24,11.0
Indiana,Circulatory diseases,Cardiac arrest,25-34,15.0
Indiana,Circulatory diseases,Cardiac arrest,35-44,42.0
Indiana,Circulatory diseases,Cardiac arrest,45-54,120.0
Indiana,Circulatory diseases,Cardiac arrest,55-64,275.0
Indiana,Circulatory diseases,Cardiac arrest,65-74,425.0
Indiana,Circulatory diseases,Cardiac arrest,75-84,382.0
Indiana,Circulatory diseases,Cardiac arrest,85+,272.0
Indiana,Circulatory diseases,Cardiac arrest,Not stated,0.0
Indiana,Circulatory diseases,Cardiac arrest,All Ages,1542.0
Indiana,Circulatory diseases,Cardiac arrhythmia,0-24,
Indiana,Circulatory diseases,Cardiac arrhythmia,25-34,
Indiana,Circulatory diseases,Cardiac arrhythmia,35-44,20.0
Indiana,Circulatory diseases,Cardiac arrhythmia,45-54,64.0
Indiana,Circulatory diseases,Cardiac arrhythmia,55-64,232.0
Indiana,Circulatory diseases,Cardiac arrhythmia,65-74,492.0
Indiana,Circulatory diseases,Cardiac arrhythmia,75-84,818.0
